index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
50,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Steel String Guitar.fxp,contributor,38241,13c7a4fe9c90b2a5cdb7e0219b5681538ebcf541,13c7a4fe9c90b2a5cdb7e0219b5681538ebcf541,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
51,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Accordion Lead.fxp,contributor,33208,a70693243974c3aecde87962639c915283d26868,a70693243974c3aecde87962639c915283d26868,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
52,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Acoordion Basses.fxp,contributor,33923,a765202508e7522972196640c79dfd3fbb90f292,a765202508e7522972196640c79dfd3fbb90f292,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
53,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Grand Piano.fxp,contributor,37891,f1d71fd1c0100c4a2b55da3e5ce50ea7261061eb,f1d71fd1c0100c4a2b55da3e5ce50ea7261061eb,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
54,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Soft Piano.fxp,contributor,393006,6402a0525235afce0046b34621f773179a6fb0e6,6402a0525235afce0046b34621f773179a6fb0e6,True,ok,,152,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
55,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Upright Piano.fxp,contributor,268813,903085c83d6de4f8953241c71e409117455171a4,903085c83d6de4f8953241c71e409117455171a4,True,ok,,9,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
56,resources/data/patches_3rdparty/Aleksey Zhehanov/Pads/Winter Breath.fxp,contributor,36427,59a29d3c061e224354bcd095931478b528dca632,59a29d3c061e224354bcd095931478b528dca632,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
57,resources/data/patches_3rdparty/Aleksey Zhehanov/Strings/Harp.fxp,contributor,99606,4f316a7f43eba60c40e9a7ca5de095a5775aeb21,4f316a7f43eba60c40e9a7ca5de095a5775aeb21,True,ok,,8,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
58,resources/data/patches_3rdparty/Aleksey Zhehanov/Strings/Lo-Fi Strings.fxp,contributor,37180,5e6e56277bfa67e2c0371d0b757f6c992a30e7b1,5e6e56277bfa67e2c0371d0b757f6c992a30e7b1,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
59,resources/data/patches_3rdparty/Aleksey Zhehanov/Strings/Pizzicato Strings.fxp,contributor,264274,0b1c78a74b21c53908635ceaf53dd2dd9551f23d,0b1c78a74b21c53908635ceaf53dd2dd9551f23d,True,ok,,49,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
